StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_1_TEXT,Q2,Q2_1_TEXT,Q3,Q3_1_TEXT,Q4,Q4_1_TEXT,Q5,Q5_1_TEXT,Q6,Q6_1_TEXT,Q7,Q7_2_TEXT,Q6_1_TEXT - Topics,Q6_1_TEXT - Parent Topics,Q6_1_TEXT - Topic Hierarchy Level 1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Is your title emergency manager, resilience officer, or something related? - Selected Choice","Is your title emergency manager, resilience officer, or something related? - Please answer yes or no. If yes, please enter your exact title. - Text",What is your current role as an emergency manager or resilience officer? - Selected Choice,What is your current role as an emergency manager or resilience officer? - Describe your usual responsibilities - Text,Are you aware that communities impacted by the digital divide are also more vulnerable to the impacts of climate change? - Selected Choice,"Are you aware that communities impacted by the digital divide are also more vulnerable to the impacts of climate change? - Please answer yes or no. If yes, please explain your understanding of this issue. - Text",Do you have any knowledge of how the digital divide affects rural and BIPOC communities differently than other communities - Selected Choice,"Do you have any knowledge of how the digital divide affects rural and BIPOC communities differently than other communities - Please answer yes or no. If yes, please explain your knowledge or understanding - Text",Have you taken any steps to bridge the digital divide in your state/county? - Selected Choice,"Have you taken any steps to bridge the digital divide in your state/county? - Please answer yes or no. If yes, please explain any steps you've taken. - Text","Have you collaborated with local government, non-profit organizations, or private sector entities to address the digital divide and its connection to climate change? - Selected Choice","Have you collaborated with local government, non-profit organizations, or private sector entities to address the digital divide and its connection to climate change? - Please answer yes or no. If yes, please add additional details about that collaboration - Text","As an emergency manager or resilience officer, what obstacles do you encounter when addressing the digital divide and climate risk, and what additional resources or support would improve your ability to address these challenges? - Selected Choice","As an emergency manager or resilience officer, what obstacles do you encounter when addressing the digital divide and climate risk, and what additional resources or support would improve your ability to address these challenges? - Please answer here - Text",Q6_1_TEXT - Topics,Q6_1_TEXT - Parent Topics,Q6_1_TEXT - Topic Hierarchy Level 1
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_1_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_1_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_1_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_1_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_1_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_1_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_2_TEXT""}","{""ImportId"":""QID26_1_TEXT_5545ccf7_5h3rt1n6vcslTopics""}","{""ImportId"":""QID26_1_TEXT_5545ccf7_5h3rt1n6vcslParTopics""}","{""ImportId"":""QID26_1_TEXT_5545ccf7_5h3rt1n6vcslTopicHierarchy1""}"
7/18/23 16:49,7/18/23 16:50,1,,100,27,1,7/18/23 16:50,R_3CODrj914bAJ7Yn,,,,,38.8078,-77.0523,preview,EN,,,,,,,,,,,,,,,,,
7/19/23 7:58,7/19/23 8:01,0,188.4.75.40,100,126,1,7/19/23 8:01,R_qKL9hiDDziCTHhf,,,,,37.9312,23.7032,anonymous,EN,,,,,,,,,,,,,,,,,
7/19/23 7:54,7/19/23 8:28,0,141.161.133.173,100,2021,1,7/19/23 8:28,R_3qQcqc4iNjNV4eM,,,,,38.894,-77.0365,anonymous,EN,,,1,Data analysis,,,,,1,"The first step in acting is ensuring adequate and thorough understanding of the issue at hand to ensure, informed, and evidence-based action. Through my current research I’ve increased my understanding of how climate and public health resilience is linked to broadband access. Moving forward I hope to find opportunities where I can put this knowledge into practice to close the digital divide and increase community resilience in vulnerable communities across the U.S.",1,"Previously I worked for DC Homeland Security Emergency Management Agency (HSEMA) as an intern in their Resilience Bureau. Through my stint at HSEMA I facilitated multiagency collaboration to coordinate the District’s annual progress report on adopting the 2019 Resilient DC strategy to address challenges of affordable housing, economic and social inequality, environmental health, and urban mobility. Of which, the addressing the digital divide is one of the through line strategies to increase resilience in all the focuses named above. ",1,,Unknown,,
7/19/23 9:50,7/19/23 9:57,0,174.172.148.8,100,402,1,7/19/23 9:57,R_2RV1dGG8mqp7pfl,,,,,39.0488,-76.8343,anonymous,EN,,,1,"Preparedness outreach and development of topic specific planning guidance for state, local, tribal, and territorial audiences ",,,,,1,No,1,No,1,,Unknown,,
7/20/23 8:51,7/20/23 8:59,0,73.250.245.115,100,526,1,7/20/23 8:59,R_3fMMPqVmLZuKWZq,,,,,38.8315,-77.1199,anonymous,EN,,,1,"Engages with external partners and local counterparts while conducting effective public outreach and communications initiatives. Demonstrated success in managing humanitarian programs, conducting thorough evaluations, and carrying out detailed assessments to drive positive change. 	Designed a program management plan to facilitate seamless coordination among Public Health, Emergency Managers, and 41 Long-Term Care facilities at a regional level, including mutual aid planning, bi-monthly training sessions, mitigation measures, a collaborative workgroup, and a preparedness program.",,,,,1,"No, I work at the individual level. ",1,Not yet. Would like the opportunity. ,1,,Unknown,,
7/20/23 12:34,7/20/23 12:34,0,142.190.68.122,100,36,1,7/20/23 12:34,R_QoBtVC8IJipq8vv,,,,,29.9353,-90.074,anonymous,EN,,,,,,,,,,,,,,,,,
7/22/23 18:07,7/22/23 18:12,0,71.204.218.34,100,321,1,7/22/23 18:12,R_3lMOMTPuhK7SbRv,,,,,38.8078,-77.0523,anonymous,EN,,,1,"Collaboration with emergency managers, academics, community and city leadership on planning and adaptation for climate related issues, economic stability and other shocks",,,,,2,,"1,2",No,"2,1","Funding is a challenge, building community trust, keeping political interest in projects",Unknown,,
7/23/23 12:26,7/23/23 12:27,1,,100,80,1,7/23/23 12:27,R_1fgapNRCzj3tu13,,,,,38.8078,-77.0523,preview,EN,1,Chief Resilience Officer,1,collaborate with state and local officials,1,Yes,1,Yes. They are less likely to have connections and access to public resources,1,Yes. We are part of a digital equity committee,1,No,2,political will,Unknown,,
